id,chunk_id,label,statement,context,label_reason,subject_tags,chapter,chapter_title
100000,141,barely-true,Pairing ChromaDB vectors with hero attribute tables guarantees RAG will produce fully coherent narratives every time.,RAG using ChromaDB vectorized plot data and structured attributes,"Overreaches claim of guaranteed coherence; passage only describes capability and example, not assured perfect results.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100001,141,FALSE,RAG cannot retrieve policy documents or technical manuals from vector stores.,pairing ChromaDB vectorized plot data with RAG retrieval,"Contradicts passage which explicitly states RAG can retrieve policy documents, manuals, and research articles.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100002,141,half-true,Pairing ChromaDB vectors with structured hero attributes guarantees fully accurate RAG-based narratives.,pairing vectorized plot data in ChromaDB with structured hero attributes,Mixes truth and error: RAG with ChromaDB supports dynamic narratives but does not guarantee full accuracy or factual correctness.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100003,135,TRUE,Transformer-based diffusion models can synthesize short videos from text prompts.,Transformer-based video diffusion model generating moving scenes,"Passage describes Transformer video diffusion models creating scenes from prompts, e.g., robot sandwich example.","generative-ai,diffusion,gans",7,Generative AI
100004,135,FALSE,Transformers cannot generate coherent sequences and fail at sequence-to-sequence tasks.,sequence-to-sequence Transformer architecture,"Contradicts passage evidence that seq2seq Transformers successfully convert input sequences into outputs and enable MusicLM, VideoCrafter2, and code generation.","generative-ai,diffusion,gans",7,Generative AI
100005,135,mostly-true,"Transformer-based generative models can synthesize music, code, and short videos from text prompts.",applications using Transformer-based video diffusion and seq2seq models,"Passage lists MusicLM, CodeGen, VideoCrafter2, and Phenaki as Transformer-based examples producing music, code, and video from text.","generative-ai,diffusion,gans",7,Generative AI
100006,90,barely-true,Feature engineering always guarantees significantly improved model performance across tasks.,feature engineering and dataset merging for predictive modeling,"Overreaches beyond passage; passage says features help but doesn’t claim guaranteed, universal improvement.","data-prep,feature-engineering,rag",3,Prepping Data for AI
100007,90,mostly-true,Well-engineered composite features generally improve model performance on complex prediction tasks.,feature engineering and dataset merging for RAG or predictive models,Supports claim that composite features and merged datasets boost model accuracy; omits cases where feature creation can overfit or be unnecessary.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100008,90,TRUE,Well-engineered features improve model performance on complex prediction tasks.,feature engineering for datasets like customer profiles and purchasing history,Passage explains merging datasets and creating composite features boosts models' ability to handle complex questions and reliability.,"data-prep,feature-engineering,rag",3,Prepping Data for AI
100009,123,half-true,"The agent sometimes classifies films differently than humans, misaligning genre judgment.","agent behavior, open source inspection and evaluation","Passage shows agent exercised judgment that didn’t match human criteria, mixing correct behavior and misaligned specifics.","ai,tool-chain,notebooks",2,AI Survival Kit
100010,123,pants-fire,The agent declared A Minecraft Movie a superhero film despite lacking human judgment.,agent behavior and open source inspectability,Direct contradiction: passage states the agent did not classify it as a superhero film and judged differently than humans.,"ai,tool-chain,notebooks",2,AI Survival Kit
100011,123,mostly-true,Open-source tools make agent behavior easier to inspect and adjust for safer decision-making.,open source tools for agent behavior inspection,"Supports passage claim that open source helps inspect, adjust, and improve agent behavior, minor nuance on limits omitted.","ai,tool-chain,notebooks",2,AI Survival Kit
100012,143,half-true,Agent behavior must always be fully reproducible in finance and healthcare deployments.,reproducibility for agentic AI in finance or healthcare,"Accurately notes reproducibility importance but overstates certainty; passage says it ""matters"" and requires tuning, not ""must always be fully reproducible."".","agentic-ai,planning,tools",12,Agentic AI
100013,143,TRUE,Reproducibility is important for agent behavior in finance and healthcare settings.,reproducibility for agentic AI in finance or healthcare,Passage states reproducibility matters in finance and healthcare and recommends tuning prompts and explanations to validate behavior.,"agentic-ai,planning,tools",12,Agentic AI
100014,143,TRUE,Reproducibility is crucial for agentic AI in domains like finance and healthcare.,"reproducibility, prompts, explain outcomes, agentic AI tools",Passage explicitly contrasts trivia variation with reproducibility needs and suggests tuning prompts and explanations.,"agentic-ai,planning,tools",12,Agentic AI
100015,122,half-true,The CrewAI agent autonomously fetched IMDb and Rotten Tomatoes scores and averaged them.,agent tool use involving IMDb and Rotten Tomatoes,Mixes correct autonomy and data sources with incorrect implication of full reliability and proper genre judgment.,"ai,tool-chain,notebooks",2,AI Survival Kit
100016,122,mostly-true,The CrewAI agent autonomously sourced IMDb and Rotten Tomatoes scores to compute average ratings.,tool-chain agent using IMDb and Rotten Tomatoes data,"Supported by passage: agent looked up IMDb/Rotten Tomatoes, inferred recent superhero films, and averaged scores; minor caveat about film classification omitted.","ai,tool-chain,notebooks",2,AI Survival Kit
100017,122,pants-fire,The CrewAI agent fabricated movie ratings and invented films to produce fake averages.,CrewAI agent retrieving IMDb and Rotten Tomatoes scores,"Agent claimed nonexistent or miscategorized titles and precise percentages, directly contradicting verifiable film data.","ai,tool-chain,notebooks",2,AI Survival Kit
100018,113,mostly-true,PyTorch's autograd automatically records operations to compute gradients during backpropagation when requires_grad is True.,automatic differentiation with PyTorch autograd and requires_grad,Accurately reflects autograd behavior; omits minor details like non-leaf tensors and grad retention options.,"deep-learning,frameworks,tensors",5,Deep Learning
100019,113,TRUE,PyTorch's autograd records operations when requires_grad=True to compute gradients automatically.,autograd tracking with requires_grad in PyTorch,Directly supported: passage explains autograd records operations when requires_grad=True and computes gradients during backpropagation.,"deep-learning,frameworks,tensors",5,Deep Learning
100020,113,pants-fire,Autograd in PyTorch never records any operations even with requires_grad=True.,autograd and requires_grad in PyTorch,Directly contradicts described behavior: requires_grad=True enables recording and backward gradient computation.,"deep-learning,frameworks,tensors",5,Deep Learning
